,Price (USD),Replies,Likes,Retweets,Tweets
2020-10-05,10776.0,9279.0,63966.0,15778.0,14983.0
2020-10-06,10600.02697768,12096.0,62141.0,17278.0,14642.0
2020-10-07,10664.0,8608.0,60826.0,18316.0,16105.0
2020-10-08,10914.097084,15104.0,129082.0,30136.0,22274.0
2020-10-09,11066.0,11948.0,89309.0,24806.0,24249.0
2020-10-10,11367.445248,8736.0,67328.0,18321.0,21420.0
2020-10-11,11356.0,9149.0,69283.0,14556.0,15826.0
2020-10-12,11679.97390125,8971.0,72962.0,17015.0,17630.0
2020-10-13,11453.0,12839.0,87043.0,26058.0,16898.0
2020-10-14,11401.0,11270.0,80800.0,21483.0,15876.0
2020-10-15,11501.0,10462.0,63179.0,17730.0,17704.0
2020-10-16,11361.0,13928.0,76892.0,23359.0,18439.0
2020-10-17,11358.0,8538.0,50301.0,12145.0,16022.0
2020-10-18,11480.0,6265.0,52786.0,14474.0,13466.0
2020-10-19,11775.0,11546.0,85351.0,25539.0,18071.0
2020-10-20,11941.06467495,14598.0,106867.0,20742.0,16673.0
2020-10-21,13136.5889774,23176.0,221714.0,40889.0,28160.0
2020-10-22,13129.0,14328.0,125777.0,20325.0,22974.0
2020-10-23,12937.0,14025.0,94931.0,24897.0,17975.0
2020-10-24,13076.736624,7284.0,65015.0,14799.0,15391.0
2020-10-25,13020.0,10871.0,81271.0,17699.0,15418.0
2020-10-26,13036.0,15758.0,79840.0,19625.0,17609.0
2020-10-27,13724.0,14570.0,160619.0,25494.0,21792.0
2020-10-28,13259.63697,12671.0,98657.0,14467.0,19200.0
2020-10-29,13450.0,11827.0,85137.0,16842.0,19238.0
2020-10-30,13577.0,11720.0,74663.0,16471.0,16785.0
2020-10-31,13859.0,15358.0,143020.0,27146.0,19634.0
2020-11-01,13682.94790468,9772.0,80408.0,14413.0,15847.0
2020-11-02,13594.0,12718.0,83246.0,19232.0,17350.0
2020-11-03,14000.0,11590.0,94575.0,18814.0,20288.0
2020-11-04,14120.0,12848.0,98963.0,17969.0,19346.0
2020-11-05,15530.0,22413.0,203096.0,35293.0,27713.0
