Date,Price (USD)
8/2/21,141.37
8/3/21,139.27
8/4/21,142.93
8/5/21,144.12
8/6/21,147.83
8/7/21,154.54
8/8/21,151.23
8/9/21,167.5
8/10/21,165.83
8/11/21,169.86
8/12/21,162.58
8/13/21,181.09
8/14/21,180.36
8/15/21,185.39
8/16/21,180.85
8/17/21,171.11
8/18/21,167.48
8/19/21,173.98
8/20/21,181.85
8/21/21,181.79
8/22/21,182.95
8/23/21,187
8/24/21,176.6
8/25/21,177
8/26/21,170.46
8/27/21,174.86
8/28/21,175.15
8/29/21,175.82
8/30/21,171.94
8/31/21,170.3
9/1/21,180.66
9/2/21,186.37
9/3/21,207.79
9/4/21,213.25
9/5/21,225.87
9/6/21,220.54
9/7/21,178.16
9/8/21,182.72
9/9/21,180.94
9/10/21,173.9
9/11/21,178.53
9/12/21,182.17
9/13/21,180.96
9/14/21,183.43
9/15/21,188.35
9/16/21,184.42
9/17/21,179.49
9/18/21,180.6
9/19/21,174.18
9/20/21,159.04
9/21/21,148.98
9/22/21,161.01
9/23/21,163.36
9/24/21,151.7
9/25/21,152.21
9/26/21,151.92
9/27/21,148.89
9/28/21,142.59
9/29/21,144.12
9/30/21,152.93
